Usia;Kelompok
43        ;Dewasa              
73        ;Tua                 
17        ;Pemuda              
56        ;Tua                 
34        ;Dewasa              
56        ;Tua                 
12        ;Remaja              
62        ;Tua                 
40        ;Dewasa              
34        ;Dewasa              
27        ;Dewasa              
76        ;Tua                 
43        ;Dewasa              
29        ;Dewasa              
64        ;Tua                 
18        ;Pemuda              
19        ;Pemuda              
26        ;Dewasa              
13        ;Remaja              
76        ;Tua                 
21        ;Pemuda              
32        ;Dewasa              
53        ;Dewasa              
13        ;Remaja              
73        ;Tua                 
5         ;Balita              
71        ;Tua                 
12        ;Remaja              
44        ;Dewasa              
10        ;Kanak-Kanak         
11        ;Kanak-Kanak         
64        ;Tua                 
64        ;Tua                 
36        ;Dewasa              
43        ;Dewasa              
1         ;Balita              
77        ;Tua                 
68        ;Tua                 
62        ;Tua                 
27        ;Dewasa              
42        ;Dewasa              
3         ;Balita              
26        ;Dewasa              
51        ;Dewasa              
70        ;Tua                 
32        ;Dewasa              
21        ;Pemuda              
45        ;Dewasa              
70        ;Tua                 
8         ;Kanak-Kanak         
47        ;Dewasa              
7         ;Kanak-Kanak         
25        ;Dewasa              
74        ;Tua                 
8         ;Kanak-Kanak         
1         ;Balita              
63        ;Tua                 
32        ;Dewasa              
13        ;Remaja              
79        ;Tua                 
6         ;Kanak-Kanak         
79        ;Tua                 
58        ;Tua                 
24        ;Dewasa              
36        ;Dewasa              
7         ;Kanak-Kanak         
73        ;Tua                 
28        ;Dewasa              
23        ;Pemuda              
39        ;Dewasa              
27        ;Dewasa              
48        ;Dewasa              
42        ;Dewasa              
2         ;Balita              
60        ;Tua                 
42        ;Dewasa              
40        ;Dewasa              
80        ;Tua                 
43        ;Dewasa              
46        ;Dewasa              
3         ;Balita              
46        ;Dewasa              
49        ;Dewasa              
71        ;Tua                 
71        ;Tua                 
36        ;Dewasa              
36        ;Dewasa              
4         ;Balita              
32        ;Dewasa              
59        ;Tua                 
74        ;Tua                 
49        ;Dewasa              
30        ;Dewasa              
23        ;Pemuda              
8         ;Kanak-Kanak         
33        ;Dewasa              
40        ;Dewasa              
80        ;Tua                 
54        ;Dewasa              
40        ;Dewasa              
